"Notes"	"State"	"State Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Alabama"	"01"	"15-19 years"	"15-19"	"2014"	"2014"	5009	156422	32.02
	"Alabama"	"01"	"15-19 years"	"15-19"	"2015"	"2015"	4739	157347	30.12
	"Alabama"	"01"	"15-19 years"	"15-19"	"2016"	"2016"	4480	158008	28.35
	"Alabama"	"01"	"15-19 years"	"15-19"	"2017"	"2017"	4241	157072	27.00
	"Alabama"	"01"	"15-19 years"	"15-19"	"2018"	"2018"	3924	155697	25.20
	"Alabama"	"01"	"15-19 years"	"15-19"	"2019"	"2019"	3955	154529	25.59
	"Alabama"	"01"	"15-19 years"	"15-19"	"2020"	"2020"	3788	152853	24.78
	"Alabama"	"01"	"20-24 years"	"20-24"	"2007"	"2007"	20228	163425	123.78
	"Alabama"	"01"	"20-24 years"	"20-24"	"2008"	"2008"	19980	164263	121.63
	"Alabama"	"01"	"20-24 years"	"20-24"	"2009"	"2009"	18918	166287	113.77
	"Alabama"	"01"	"20-24 years"	"20-24"	"2010"	"2010"	17745	167802	105.75
	"Alabama"	"01"	"20-24 years"	"20-24"	"2011"	"2011"	17591	174254	100.95
	"Alabama"	"01"	"20-24 years"	"20-24"	"2012"	"2012"	17100	176721	96.76
	"Alabama"	"01"	"20-24 years"	"20-24"	"2013"	"2013"	17322	176886	97.93
	"Alabama"	"01"	"20-24 years"	"20-24"	"2014"	"2014"	17092	175941	97.15
	"Alabama"	"01"	"20-24 years"	"20-24"	"2015"	"2015"	16794	170945	98.24
	"Alabama"	"01"	"20-24 years"	"20-24"	"2016"	"2016"	16066	165297	97.19
	"Alabama"	"01"	"20-24 years"	"20-24"	"2017"	"2017"	15780	163231	96.67
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018"	"2018"	15268	161564	94.50
	"Alabama"	"01"	"20-24 years"	"20-24"	"2019"	"2019"	15279	160699	95.08
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	14578	161467	90.28
	"Alabama"	"01"	"25-29 years"	"25-29"	"2007"	"2007"	18434	156497	117.79
	"Alabama"	"01"	"25-29 years"	"25-29"	"2008"	"2008"	18603	157839	117.86
	"Alabama"	"01"	"25-29 years"	"25-29"	"2009"	"2009"	18086	157961	114.50
	"Alabama"	"01"	"25-29 years"	"25-29"	"2010"	"2010"	17683	157318	112.40
	"Alabama"	"01"	"25-29 years"	"25-29"	"2011"	"2011"	17498	157023	111.44
	"Alabama"	"01"	"25-29 years"	"25-29"	"2012"	"2012"	17347	157071	110.44
	"Alabama"	"01"	"25-29 years"	"25-29"	"2013"	"2013"	17480	157896	110.71
	"Alabama"	"01"	"25-29 years"	"25-29"	"2014"	"2014"	18141	160346	113.14
	"Alabama"	"01"	"25-29 years"	"25-29"	"2015"	"2015"	18531	164717	112.50
	"Alabama"	"01"	"25-29 years"	"25-29"	"2016"	"2016"	18649	167746	111.17
	"Alabama"	"01"	"25-29 years"	"25-29"	"2017"	"2017"	18774	170408	110.17
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018"	"2018"	18348	170662	107.51
	"Alabama"	"01"	"25-29 years"	"25-29"	"2019"	"2019"	18662	169504	110.10
	"Alabama"	"01"	"25-29 years"	"25-29"	"2020"	"2020"	18218	166063	109.71
	"Alabama"	"01"	"30-34 years"	"30-34"	"2007"	"2007"	11356	145591	78.00
	"Alabama"	"01"	"30-34 years"	"30-34"	"2008"	"2008"	11422	146382	78.03
	"Alabama"	"01"	"30-34 years"	"30-34"	"2009"	"2009"	11571	148915	77.70
	"Alabama"	"01"	"30-34 years"	"30-34"	"2010"	"2010"	11578	151464	76.44
	"Alabama"	"01"	"30-34 years"	"30-34"	"2011"	"2011"	11949	154895	77.14
	"Alabama"	"01"	"30-34 years"	"30-34"	"2012"	"2012"	12211	156557	78.00
	"Alabama"	"01"	"30-34 years"	"30-34"	"2013"	"2013"	12325	157079	78.46
	"Alabama"	"01"	"30-34 years"	"30-34"	"2014"	"2014"	13176	157775	83.51
	"Alabama"	"01"	"30-34 years"	"30-34"	"2015"	"2015"	13287	156739	84.77
	"Alabama"	"01"	"30-34 years"	"30-34"	"2016"	"2016"	13440	155897	86.21
	"Alabama"	"01"	"30-34 years"	"30-34"	"2017"	"2017"	13425	154552	86.86
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018"	"2018"	13422	155481	86.33
	"Alabama"	"01"	"30-34 years"	"30-34"	"2019"	"2019"	13777	157860	87.27
	"Alabama"	"01"	"30-34 years"	"30-34"	"2020"	"2020"	13890	162534	85.46
	"Alabama"	"01"	"35-39 years"	"35-39"	"2007"	"2007"	4998	159044	31.43
	"Alabama"	"01"	"35-39 years"	"35-39"	"2008"	"2008"	4906	160006	30.66
	"Alabama"	"01"	"35-39 years"	"35-39"	"2009"	"2009"	4598	159486	28.83
	"Alabama"	"01"	"35-39 years"	"35-39"	"2010"	"2010"	4590	157352	29.17
	"Alabama"	"01"	"35-39 years"	"35-39"	"2011"	"2011"	4600	151554	30.35
	"Alabama"	"01"	"35-39 years"	"35-39"	"2012"	"2012"	4574	149864	30.52
	"Alabama"	"01"	"35-39 years"	"35-39"	"2013"	"2013"	4631	149455	30.99
	"Alabama"	"01"	"35-39 years"	"35-39"	"2014"	"2014"	4980	150784	33.03
	"Alabama"	"01"	"35-39 years"	"35-39"	"2015"	"2015"	5272	152578	34.55
	"Alabama"	"01"	"35-39 years"	"35-39"	"2016"	"2016"	5505	154460	35.64
	"Alabama"	"01"	"35-39 years"	"35-39"	"2017"	"2017"	5647	155256	36.37
	"Alabama"	"01"	"35-39 years"	"35-39"	"2018"	"2018"	5673	156327	36.29
	"Alabama"	"01"	"35-39 years"	"35-39"	"2019"	"2019"	5782	156924	36.85
	"Alabama"	"01"	"35-39 years"	"35-39"	"2020"	"2020"	5938	156516	37.94
	"Alabama"	"01"	"40-44 years"	"40-44"	"2007"	"2007"	919	166904	5.51
	"Alabama"	"01"	"40-44 years"	"40-44"	"2008"	"2008"	878	162815	5.39
	"Alabama"	"01"	"40-44 years"	"40-44"	"2009"	"2009"	892	159544	5.59
	"Alabama"	"01"	"40-44 years"	"40-44"	"2010"	"2010"	956	158364	6.04
	"Alabama"	"01"	"40-44 years"	"40-44"	"2011"	"2011"	959	159376	6.02
	"Alabama"	"01"	"40-44 years"	"40-44"	"2012"	"2012"	885	160567	5.51
	"Alabama"	"01"	"40-44 years"	"40-44"	"2013"	"2013"	897	161341	5.56
	"Alabama"	"01"	"40-44 years"	"40-44"	"2014"	"2014"	916	159841	5.73
	"Alabama"	"01"	"40-44 years"	"40-44"	"2015"	"2015"	928	156655	5.92
	"Alabama"	"01"	"40-44 years"	"40-44"	"2016"	"2016"	924	151388	6.10
	"Alabama"	"01"	"40-44 years"	"40-44"	"2017"	"2017"	976	149430	6.53
	"Alabama"	"01"	"40-44 years"	"40-44"	"2018"	"2018"	1023	149037	6.86
	"Alabama"	"01"	"40-44 years"	"40-44"	"2019"	"2019"	1047	149802	6.99
	"Alabama"	"01"	"40-44 years"	"40-44"	"2020"	"2020"	1120	152182	7.36
	"Alabama"	"01"	"45-49 years"	"45-49"	"2007"	"2007"	36	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2008"	"2008"	36	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2009"	"2009"	41	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2010"	"2010"	41	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2011"	"2011"	48	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2012"	"2012"	46	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2013"	"2013"	52	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2014"	"2014"	41	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2015"	"2015"	51	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2016"	"2016"	34	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2017"	"2017"	47	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2018"	"2018"	56	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2019"	"2019"	63	Not Available	Not Available
	"Alabama"	"01"	"45-49 years"	"45-49"	"2020"	"2020"	60	Not Available	Not Available
	"Alaska"	"02"	"15-19 years"	"15-19"	"2007"	"2007"	1117	26055	42.87
	"Alaska"	"02"	"15-19 years"	"15-19"	"2008"	"2008"	1135	25685	44.19
	"Alaska"	"02"	"15-19 years"	"15-19"	"2009"	"2009"	1106	25602	43.20
	"Alaska"	"02"	"15-19 years"	"15-19"	"2010"	"2010"	956	24962	38.30
	"Alaska"	"02"	"15-19 years"	"15-19"	"2011"	"2011"	880	24340	36.15
	"Alaska"	"02"	"15-19 years"	"15-19"	"2012"	"2012"	817	23681	34.50
	"Alaska"	"02"	"15-19 years"	"15-19"	"2013"	"2013"	708	23386	30.27
	"Alaska"	"02"	"15-19 years"	"15-19"	"2014"	"2014"	645	23169	27.84
	"Alaska"	"02"	"15-19 years"	"15-19"	"2015"	"2015"	662	22612	29.28
	"Alaska"	"02"	"15-19 years"	"15-19"	"2016"	"2016"	583	22610	25.79
	"Alaska"	"02"	"15-19 years"	"15-19"	"2017"	"2017"	486	22093	22.00
	"Alaska"	"02"	"15-19 years"	"15-19"	"2018"	"2018"	423	21956	19.27
	"Alaska"	"02"	"15-19 years"	"15-19"	"2019"	"2019"	393	21516	18.27
	"Alaska"	"02"	"15-19 years"	"15-19"	"2020"	"2020"	378	21388	17.67
	"Alaska"	"02"	"20-24 years"	"20-24"	"2007"	"2007"	3316	24336	136.26
	"Alaska"	"02"	"20-24 years"	"20-24"	"2008"	"2008"	3350	23984	139.68
	"Alaska"	"02"	"20-24 years"	"20-24"	"2009"	"2009"	3146	24362	129.14
	"Alaska"	"02"	"20-24 years"	"20-24"	"2010"	"2010"	3309	24713	133.90
	"Alaska"	"02"	"20-24 years"	"20-24"	"2011"	"2011"	3252	25852	125.79
	"Alaska"	"02"	"20-24 years"	"20-24"	"2012"	"2012"	2977	26829	110.96
	"Alaska"	"02"	"20-24 years"	"20-24"	"2013"	"2013"	2997	26977	111.09
	"Alaska"	"02"	"20-24 years"	"20-24"	"2014"	"2014"	2980	26354	113.08
	"Alaska"	"02"	"20-24 years"	"20-24"	"2015"	"2015"	2723	25672	106.07
	"Alaska"	"02"	"20-24 years"	"20-24"	"2016"	"2016"	2563	24554	104.38
	"Alaska"	"02"	"20-24 years"	"20-24"	"2017"	"2017"	2259	23268	97.09
	"Alaska"	"02"	"20-24 years"	"20-24"	"2018"	"2018"	2182	22645	96.36
	"Alaska"	"02"	"20-24 years"	"20-24"	"2019"	"2019"	2053	21903	93.73
	"Alaska"	"02"	"20-24 years"	"20-24"	"2020"	"2020"	1954	21452	91.09
	"Alaska"	"02"	"25-29 years"	"25-29"	"2007"	"2007"	3184	23398	136.08
	"Alaska"	"02"	"25-29 years"	"25-29"	"2008"	"2008"	3388	24323	139.29
	"Alaska"	"02"	"25-29 years"	"25-29"	"2009"	"2009"	3410	25283	134.87
	"Alaska"	"02"	"25-29 years"	"25-29"	"2010"	"2010"	3447	26112	132.01
	"Alaska"	"02"	"25-29 years"	"25-29"	"2011"	"2011"	3462	27263	126.99
	"Alaska"	"02"	"25-29 years"	"25-29"	"2012"	"2012"	3380	27688	122.07
	"Alaska"	"02"	"25-29 years"	"25-29"	"2013"	"2013"	3547	27793	127.62
	"Alaska"	"02"	"25-29 years"	"25-29"	"2014"	"2014"	3536	28394	124.53
	"Alaska"	"02"	"25-29 years"	"25-29"	"2015"	"2015"	3525	28603	123.24
	"Alaska"	"02"	"25-29 years"	"25-29"	"2016"	"2016"	3546	29138	121.70
	"Alaska"	"02"	"25-29 years"	"25-29"	"2017"	"2017"	3369	29020	116.09
	"Alaska"	"02"	"25-29 years"	"25-29"	"2018"	"2018"	3140	28568	109.91
	"Alaska"	"02"	"25-29 years"	"25-29"	"2019"	"2019"	3084	27969	110.26
	"Alaska"	"02"	"25-29 years"	"25-29"	"2020"	"2020"	2896	26770	108.18
	"Alaska"	"02"	"30-34 years"	"30-34"	"2007"	"2007"	2089	20973	99.60
	"Alaska"	"02"	"30-34 years"	"30-34"	"2008"	"2008"	2189	21240	103.06
	"Alaska"	"02"	"30-34 years"	"30-34"	"2009"	"2009"	2268	22085	102.69
	"Alaska"	"02"	"30-34 years"	"30-34"	"2010"	"2010"	2454	22845	107.42
	"Alaska"	"02"	"30-34 years"	"30-34"	"2011"	"2011"	2460	24059	102.25
	"Alaska"	"02"	"30-34 years"	"30-34"	"2012"	"2012"	2572	24788	103.76
	"Alaska"	"02"	"30-34 years"	"30-34"	"2013"	"2013"	2712	25496	106.37
	"Alaska"	"02"	"30-34 years"	"30-34"	"2014"	"2014"	2844	26263	108.29
	"Alaska"	"02"	"30-34 years"	"30-34"	"2015"	"2015"	2893	26610	108.72
	"Alaska"	"02"	"30-34 years"	"30-34"	"2016"	"2016"	2965	27219	108.93
	"Alaska"	"02"	"30-34 years"	"30-34"	"2017"	"2017"	2735	27136	100.79
	"Alaska"	"02"	"30-34 years"	"30-34"	"2018"	"2018"	2767	27195	101.75
	"Alaska"	"02"	"30-34 years"	"30-34"	"2019"	"2019"	2628	27114	96.92
	"Alaska"	"02"	"30-34 years"	"30-34"	"2020"	"2020"	2629	27571	95.35
	"Alaska"	"02"	"35-39 years"	"35-39"	"2007"	"2007"	1054	22611	46.61
	"Alaska"	"02"	"35-39 years"	"35-39"	"2008"	"2008"	1084	22330	48.54
	"Alaska"	"02"	"35-39 years"	"35-39"	"2009"	"2009"	1123	22268	50.43
	"Alaska"	"02"	"35-39 years"	"35-39"	"2010"	"2010"	1013	22102	45.83
	"Alaska"	"02"	"35-39 years"	"35-39"	"2011"	"2011"	1121	21614	51.86
	"Alaska"	"02"	"35-39 years"	"35-39"	"2012"	"2012"	1113	21758	51.15
	"Alaska"	"02"	"35-39 years"	"35-39"	"2013"	"2013"	1172	21553	54.38
	"Alaska"	"02"	"35-39 years"	"35-39"	"2014"	"2014"	1115	21701	51.38
	"Alaska"	"02"	"35-39 years"	"35-39"	"2015"	"2015"	1230	22319	55.11
	"Alaska"	"02"	"35-39 years"	"35-39"	"2016"	"2016"	1299	23413	55.48
	"Alaska"	"02"	"35-39 years"	"35-39"	"2017"	"2017"	1303	24136	53.99
	"Alaska"	"02"	"35-39 years"	"35-39"	"2018"	"2018"	1304	24729	52.73
	"Alaska"	"02"	"35-39 years"	"35-39"	"2019"	"2019"	1356	25103	54.02
	"Alaska"	"02"	"35-39 years"	"35-39"	"2020"	"2020"	1326	25658	51.68
	"Alaska"	"02"	"40-44 years"	"40-44"	"2007"	"2007"	262	24314	10.78
	"Alaska"	"02"	"40-44 years"	"40-44"	"2008"	"2008"	273	23185	11.77
	"Alaska"	"02"	"40-44 years"	"40-44"	"2009"	"2009"	242	22908	10.56
	"Alaska"	"02"	"40-44 years"	"40-44"	"2010"	"2010"	269	22495	11.96
	"Alaska"	"02"	"40-44 years"	"40-44"	"2011"	"2011"	261	22745	11.48
	"Alaska"	"02"	"40-44 years"	"40-44"	"2012"	"2012"	295	22566	13.07
	"Alaska"	"02"	"40-44 years"	"40-44"	"2013"	"2013"	277	21905	12.65
	"Alaska"	"02"	"40-44 years"	"40-44"	"2014"	"2014"	247	21421	11.53
	"Alaska"	"02"	"40-44 years"	"40-44"	"2015"	"2015"	230	20698	11.11
	"Alaska"	"02"	"40-44 years"	"40-44"	"2016"	"2016"	226	20437	11.06
	"Alaska"	"02"	"40-44 years"	"40-44"	"2017"	"2017"	266	20419	13.03
	"Alaska"	"02"	"40-44 years"	"40-44"	"2018"	"2018"	256	20496	12.49
	"Alaska"	"02"	"40-44 years"	"40-44"	"2019"	"2019"	287	20697	13.87
	"Alaska"	"02"	"40-44 years"	"40-44"	"2020"	"2020"	267	21223	12.58
	"Alaska"	"02"	"45-49 years"	"45-49"	"2007"	"2007"	23	Not Available	Not Available
	"Alaska"	"02"	"45-49 years"	"45-49"	"2008"	"2008"	16	Not Available	Not Available
	"Alaska"	"02"	"45-49 years"	"45-49"	"2009"	"2009"	19	Not Available	Not Available
	"Alaska"	"02"	"45-49 years"	"45-49"	"2010"	"2010"	16	Not Available	Not Available
	"Alaska"	"02"	"45-49 years"	"45-49"	"2011"	"2011"	14	Not Available	Not Available
	"Alaska"	"02"	"45-49 years"	"45-49"	"2012"	"2012"	20	Not Available	Not Available
	"Alaska"	"02"	"45-49 years"	"45-49"	"2013"	"2013"	22	Not Available	Not Available
	"Alaska"	"02"	"45-49 years"	"45-49"	"2014"	"2014"	17	Not Available	Not Available
	"Alaska"	"02"	"45-49 years"	"45-49"	"2015"	"2015"	16	Not Available	Not Available
	"Alaska"	"02"	"45-49 years"	"45-49"	"2016"	"2016"	18	Not Available	Not Available
	"Alaska"	"02"	"45-49 years"	"45-49"	"2017"	"2017"	20	Not Available	Not Available
	"Alaska"	"02"	"45-49 years"	"45-49"	"2019"	"2019"	17	Not Available	Not Available
	"Alaska"	"02"	"45-49 years"	"45-49"	"2020"	"2020"	13	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2007"	"2007"	181	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2008"	"2008"	164	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2009"	"2009"	133	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2010"	"2010"	108	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2011"	"2011"	102	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2012"	"2012"	70	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2013"	"2013"	71	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2014"	"2014"	48	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2015"	"2015"	42	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2016"	"2016"	55	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2017"	"2017"	36	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2018"	"2018"	30	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2019"	"2019"	37	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2020"	"2020"	28	Not Available	Not Available
	"Arizona"	"04"	"15-19 years"	"15-19"	"2007"	"2007"	12868	215865	59.61
	"Arizona"	"04"	"15-19 years"	"15-19"	"2008"	"2008"	12051	221157	54.49
	"Arizona"	"04"	"15-19 years"	"15-19"	"2009"	"2009"	10874	223913	48.56
	"Arizona"	"04"	"15-19 years"	"15-19"	"2010"	"2010"	9389	224302	41.86
	"Arizona"	"04"	"15-19 years"	"15-19"	"2011"	"2011"	8402	218214	38.50
	"Arizona"	"04"	"15-19 years"	"15-19"	"2012"	"2012"	8119	216974	37.42
	"Arizona"	"04"	"15-19 years"	"15-19"	"2013"	"2013"	7232	218723	33.06
	"Arizona"	"04"	"15-19 years"	"15-19"	"2014"	"2014"	6622	221215	29.93
	"Arizona"	"04"	"15-19 years"	"15-19"	"2015"	"2015"	5910	224791	26.29
	"Arizona"	"04"	"15-19 years"	"15-19"	"2016"	"2016"	5357	227424	23.56
	"Arizona"	"04"	"15-19 years"	"15-19"	"2017"	"2017"	5025	228331	22.01
	"Arizona"	"04"	"15-19 years"	"15-19"	"2018"	"2018"	4650	231635	20.07
	"Arizona"	"04"	"15-19 years"	"15-19"	"2019"	"2019"	4318	233494	18.49
	"Arizona"	"04"	"15-19 years"	"15-19"	"2020"	"2020"	3916	235489	16.63
	"Arizona"	"04"	"20-24 years"	"20-24"	"2007"	"2007"	27875	204621	136.23
	"Arizona"	"04"	"20-24 years"	"20-24"	"2008"	"2008"	26240	208701	125.73
	"Arizona"	"04"	"20-24 years"	"20-24"	"2009"	"2009"	23972	210866	113.68
	"Arizona"	"04"	"20-24 years"	"20-24"	"2010"	"2010"	22371	213022	105.02
	"Arizona"	"04"	"20-24 years"	"20-24"	"2011"	"2011"	21898	222818	98.28
	"Arizona"	"04"	"20-24 years"	"20-24"	"2012"	"2012"	21833	228468	95.56
	"Arizona"	"04"	"20-24 years"	"20-24"	"2013"	"2013"	21699	233787	92.82
	"Arizona"	"04"	"20-24 years"	"20-24"	"2014"	"2014"	21459	235990	90.93
	"Arizona"	"04"	"20-24 years"	"20-24"	"2015"	"2015"	20664	234579	88.09
	"Arizona"	"04"	"20-24 years"	"20-24"	"2016"	"2016"	19868	232517	85.45
	"Arizona"	"04"	"20-24 years"	"20-24"	"2017"	"2017"	18551	231880	80.00
	"Arizona"	"04"	"20-24 years"	"20-24"	"2018"	"2018"	17877	236024	75.74
	"Arizona"	"04"	"20-24 years"	"20-24"	"2019"	"2019"	16913	238938	70.78
	"Arizona"	"04"	"20-24 years"	"20-24"	"2020"	"2020"	16069	244221	65.80
	"Arizona"	"04"	"25-29 years"	"25-29"	"2007"	"2007"	28833	220007	131.05
	"Arizona"	"04"	"25-29 years"	"25-29"	"2008"	"2008"	28207	221050	127.60
	"Arizona"	"04"	"25-29 years"	"25-29"	"2009"	"2009"	26507	218266	121.44
	"Arizona"	"04"	"25-29 years"	"25-29"	"2010"	"2010"	25027	214390	116.74
	"Arizona"	"04"	"25-29 years"	"25-29"	"2011"	"2011"	24377	214612	113.59
	"Arizona"	"04"	"25-29 years"	"25-29"	"2012"	"2012"	24745	214147	115.55
	"Arizona"	"04"	"25-29 years"	"25-29"	"2013"	"2013"	24872	211815	117.42
	"Arizona"	"04"	"25-29 years"	"25-29"	"2014"	"2014"	25164	217557	115.67
	"Arizona"	"04"	"25-29 years"	"25-29"	"2015"	"2015"	25347	224342	112.98
	"Arizona"	"04"	"25-29 years"	"25-29"	"2016"	"2016"	25381	233270	108.81
	"Arizona"	"04"	"25-29 years"	"25-29"	"2017"	"2017"	24850	240414	103.36
	"Arizona"	"04"	"25-29 years"	"25-29"	"2018"	"2018"	24370	248857	97.93
	"Arizona"	"04"	"25-29 years"	"25-29"	"2019"	"2019"	24378	252373	96.60
	"Arizona"	"04"	"25-29 years"	"25-29"	"2020"	"2020"	23223	254140	91.38
	"Arizona"	"04"	"30-34 years"	"30-34"	"2007"	"2007"	21037	195182	107.78
	"Arizona"	"04"	"30-34 years"	"30-34"	"2008"	"2008"	20662	197927	104.39
	"Arizona"	"04"	"30-34 years"	"30-34"	"2009"	"2009"	19761	201693	97.98
	"Arizona"	"04"	"30-34 years"	"30-34"	"2010"	"2010"	19391	204472	94.83
	"Arizona"	"04"	"30-34 years"	"30-34"	"2011"	"2011"	19431	209135	92.91
	"Arizona"	"04"	"30-34 years"	"30-34"	"2012"	"2012"	20131	212548	94.71
	"Arizona"	"04"	"30-34 years"	"30-34"	"2013"	"2013"	20081	215187	93.32
	"Arizona"	"04"	"30-34 years"	"30-34"	"2014"	"2014"	21271	217398	97.84
	"Arizona"	"04"	"30-34 years"	"30-34"	"2015"	"2015"	20971	217866	96.26
	"Arizona"	"04"	"30-34 years"	"30-34"	"2016"	"2016"	21410	217763	98.32
	"Arizona"	"04"	"30-34 years"	"30-34"	"2017"	"2017"	20796	220283	94.41
	"Arizona"	"04"	"30-34 years"	"30-34"	"2018"	"2018"	20787	225624	92.13
	"Arizona"	"04"	"30-34 years"	"30-34"	"2019"	"2019"	20886	231907	90.06
	"Arizona"	"04"	"30-34 years"	"30-34"	"2020"	"2020"	20991	241683	86.85
	"Arizona"	"04"	"35-39 years"	"35-39"	"2007"	"2007"	9968	205433	48.52
	"Arizona"	"04"	"35-39 years"	"35-39"	"2008"	"2008"	10016	207586	48.25
	"Arizona"	"04"	"35-39 years"	"35-39"	"2009"	"2009"	9414	207237	45.43
	"Arizona"	"04"	"35-39 years"	"35-39"	"2010"	"2010"	9119	205469	44.38
	"Arizona"	"04"	"35-39 years"	"35-39"	"2011"	"2011"	9150	200948	45.53
	"Arizona"	"04"	"35-39 years"	"35-39"	"2012"	"2012"	9289	200386	46.36
	"Arizona"	"04"	"35-39 years"	"35-39"	"2013"	"2013"	9433	202010	46.70
	"Arizona"	"04"	"35-39 years"	"35-39"	"2014"	"2014"	10089	205988	48.98
	"Arizona"	"04"	"35-39 years"	"35-39"	"2015"	"2015"	10101	209721	48.16
	"Arizona"	"04"	"35-39 years"	"35-39"	"2016"	"2016"	10192	213963	47.63
	"Arizona"	"04"	"35-39 years"	"35-39"	"2017"	"2017"	10257	218635	46.91
	"Arizona"	"04"	"35-39 years"	"35-39"	"2018"	"2018"	10544	225128	46.84
	"Arizona"	"04"	"35-39 years"	"35-39"	"2019"	"2019"	10460	228707	45.74
	"Arizona"	"04"	"35-39 years"	"35-39"	"2020"	"2020"	10360	231376	44.78
	"Arizona"	"04"	"40-44 years"	"40-44"	"2007"	"2007"	2079	204918	10.15
	"Arizona"	"04"	"40-44 years"	"40-44"	"2008"	"2008"	1979	202829	9.76
	"Arizona"	"04"	"40-44 years"	"40-44"	"2009"	"2009"	1982	200589	9.88
	"Arizona"	"04"	"40-44 years"	"40-44"	"2010"	"2010"	1926	200902	9.59
	"Arizona"	"04"	"40-44 years"	"40-44"	"2011"	"2011"	2062	205459	10.04
	"Arizona"	"04"	"40-44 years"	"40-44"	"2012"	"2012"	2143	208534	10.28
	"Arizona"	"04"	"40-44 years"	"40-44"	"2013"	"2013"	2066	209090	9.88
