"Notes"	"State"	"State Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Year"	"Year Code"	Births	Female Population	Fertility Rate
	"Alaska"	"02"	"40-44 years"	"40-44"	"2003"	"2003"	298	27668	10.77
	"Alaska"	"02"	"40-44 years"	"40-44"	"2004"	"2004"	257	27355	9.39
	"Alaska"	"02"	"40-44 years"	"40-44"	"2005"	"2005"	306	26611	11.50
	"Alaska"	"02"	"40-44 years"	"40-44"	"2006"	"2006"	271	25488	10.63
	"Alaska"	"02"	"45-49 years"	"45-49"	"2003"	"2003"	22	Not Available	Not Available
	"Alaska"	"02"	"45-49 years"	"45-49"	"2004"	"2004"	20	Not Available	Not Available
	"Alaska"	"02"	"45-49 years"	"45-49"	"2005"	"2005"	19	Not Available	Not Available
	"Alaska"	"02"	"45-49 years"	"45-49"	"2006"	"2006"	22	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2003"	"2003"	214	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2004"	"2004"	189	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2005"	"2005"	186	Not Available	Not Available
	"Arizona"	"04"	"Under 15 years"	"15"	"2006"	"2006"	172	Not Available	Not Available
	"Arizona"	"04"	"15-19 years"	"15-19"	"2003"	"2003"	11554	186620	61.91
	"Arizona"	"04"	"15-19 years"	"15-19"	"2004"	"2004"	11738	193034	60.81
	"Arizona"	"04"	"15-19 years"	"15-19"	"2005"	"2005"	11828	201497	58.70
	"Arizona"	"04"	"15-19 years"	"15-19"	"2006"	"2006"	12824	209382	61.25
	"Arizona"	"04"	"20-24 years"	"20-24"	"2003"	"2003"	25683	196007	131.03
	"Arizona"	"04"	"20-24 years"	"20-24"	"2004"	"2004"	25915	197927	130.93
	"Arizona"	"04"	"20-24 years"	"20-24"	"2005"	"2005"	26573	199191	133.40
	"Arizona"	"04"	"20-24 years"	"20-24"	"2006"	"2006"	28379	201354	140.94
	"Arizona"	"04"	"25-29 years"	"25-29"	"2003"	"2003"	24864	184301	134.91
	"Arizona"	"04"	"25-29 years"	"25-29"	"2004"	"2004"	25688	191984	133.80
	"Arizona"	"04"	"25-29 years"	"25-29"	"2005"	"2005"	26730	203100	131.61
	"Arizona"	"04"	"25-29 years"	"25-29"	"2006"	"2006"	28695	215474	133.17
	"Arizona"	"04"	"30-34 years"	"30-34"	"2003"	"2003"	18575	187561	99.03
	"Arizona"	"04"	"30-34 years"	"30-34"	"2004"	"2004"	19343	188998	102.34
	"Arizona"	"04"	"30-34 years"	"30-34"	"2005"	"2005"	19895	191103	104.11
	"Arizona"	"04"	"30-34 years"	"30-34"	"2006"	"2006"	20367	192985	105.54
	"Arizona"	"04"	"35-39 years"	"35-39"	"2003"	"2003"	8233	187031	44.02
	"Arizona"	"04"	"35-39 years"	"35-39"	"2004"	"2004"	8768	187295	46.81
	"Arizona"	"04"	"35-39 years"	"35-39"	"2005"	"2005"	8992	192268	46.77
	"Arizona"	"04"	"35-39 years"	"35-39"	"2006"	"2006"	9892	199961	49.47
	"Arizona"	"04"	"40-44 years"	"40-44"	"2003"	"2003"	1745	200264	8.71
	"Arizona"	"04"	"40-44 years"	"40-44"	"2004"	"2004"	1924	203763	9.44
	"Arizona"	"04"	"40-44 years"	"40-44"	"2005"	"2005"	1888	206736	9.13
	"Arizona"	"04"	"40-44 years"	"40-44"	"2006"	"2006"	1991	207042	9.62
	"Arizona"	"04"	"45-49 years"	"45-49"	"2003"	"2003"	88	Not Available	Not Available
	"Arizona"	"04"	"45-49 years"	"45-49"	"2004"	"2004"	93	Not Available	Not Available
	"Arizona"	"04"	"45-49 years"	"45-49"	"2005"	"2005"	101	Not Available	Not Available
	"Arizona"	"04"	"45-49 years"	"45-49"	"2006"	"2006"	99	Not Available	Not Available
	"Arizona"	"04"	"50 years and over"	"50+"	"2003"	"2003"	11	Not Available	Not Available
	"Arizona"	"04"	"50 years and over"	"50+"	"2006"	"2006"	10	Not Available	Not Available
	"Arkansas"	"05"	"Under 15 years"	"15"	"2003"	"2003"	108	Not Available	Not Available
	"Arkansas"	"05"	"Under 15 years"	"15"	"2004"	"2004"	110	Not Available	Not Available
	"Arkansas"	"05"	"Under 15 years"	"15"	"2005"	"2005"	98	Not Available	Not Available
	"Arkansas"	"05"	"Under 15 years"	"15"	"2006"	"2006"	97	Not Available	Not Available
	"Arkansas"	"05"	"15-19 years"	"15-19"	"2003"	"2003"	5585	94148	59.32
	"Arkansas"	"05"	"15-19 years"	"15-19"	"2004"	"2004"	5716	94768	60.32
	"Arkansas"	"05"	"15-19 years"	"15-19"	"2005"	"2005"	5646	96279	58.64
	"Arkansas"	"05"	"15-19 years"	"15-19"	"2006"	"2006"	5946	97758	60.82
	"Arkansas"	"05"	"20-24 years"	"20-24"	"2003"	"2003"	12919	97837	132.05
	"Arkansas"	"05"	"20-24 years"	"20-24"	"2004"	"2004"	13253	97880	135.40
	"Arkansas"	"05"	"20-24 years"	"20-24"	"2005"	"2005"	13242	97189	136.25
	"Arkansas"	"05"	"20-24 years"	"20-24"	"2006"	"2006"	13967	96435	144.83
	"Arkansas"	"05"	"25-29 years"	"25-29"	"2003"	"2003"	10185	86011	118.42
	"Arkansas"	"05"	"25-29 years"	"25-29"	"2004"	"2004"	10325	88688	116.42
	"Arkansas"	"05"	"25-29 years"	"25-29"	"2005"	"2005"	10908	92360	118.10
	"Arkansas"	"05"	"25-29 years"	"25-29"	"2006"	"2006"	11447	96388	118.76
	"Arkansas"	"05"	"30-34 years"	"30-34"	"2003"	"2003"	6212	88242	70.40
	"Arkansas"	"05"	"30-34 years"	"30-34"	"2004"	"2004"	6246	87877	71.08
	"Arkansas"	"05"	"30-34 years"	"30-34"	"2005"	"2005"	6313	87213	72.39
	"Arkansas"	"05"	"30-34 years"	"30-34"	"2006"	"2006"	6390	86295	74.05
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2003"	"2003"	2289	92574	24.73
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2004"	"2004"	2455	90303	27.19
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2005"	"2005"	2462	89850	27.40
	"Arkansas"	"05"	"35-39 years"	"35-39"	"2006"	"2006"	2587	91533	28.26
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2003"	"2003"	456	101284	4.50
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2004"	"2004"	448	102069	4.39
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2005"	"2005"	512	101584	5.04
	"Arkansas"	"05"	"40-44 years"	"40-44"	"2006"	"2006"	504	100043	5.04
	"Arkansas"	"05"	"45-49 years"	"45-49"	"2003"	"2003"	30	Not Available	Not Available
	"Arkansas"	"05"	"45-49 years"	"45-49"	"2004"	"2004"	18	Not Available	Not Available
	"Arkansas"	"05"	"45-49 years"	"45-49"	"2005"	"2005"	27	Not Available	Not Available
	"Arkansas"	"05"	"45-49 years"	"45-49"	"2006"	"2006"	20	Not Available	Not Available
	"California"	"06"	"Under 15 years"	"15"	"2003"	"2003"	712	Not Available	Not Available
	"California"	"06"	"Under 15 years"	"15"	"2004"	"2004"	695	Not Available	Not Available
	"California"	"06"	"Under 15 years"	"15"	"2005"	"2005"	756	Not Available	Not Available
	"California"	"06"	"Under 15 years"	"15"	"2006"	"2006"	682	Not Available	Not Available
	"California"	"06"	"15-19 years"	"15-19"	"2003"	"2003"	49339	1231521	40.06
	"California"	"06"	"15-19 years"	"15-19"	"2004"	"2004"	49751	1260373	39.47
	"California"	"06"	"15-19 years"	"15-19"	"2005"	"2005"	50034	1293513	38.68
	"California"	"06"	"15-19 years"	"15-19"	"2006"	"2006"	52800	1324135	39.88
	"California"	"06"	"20-24 years"	"20-24"	"2003"	"2003"	123873	1253018	98.86
	"California"	"06"	"20-24 years"	"20-24"	"2004"	"2004"	124361	1263972	98.39
	"California"	"06"	"20-24 years"	"20-24"	"2005"	"2005"	125580	1264029	99.35
	"California"	"06"	"20-24 years"	"20-24"	"2006"	"2006"	129202	1260991	102.46
	"California"	"06"	"25-29 years"	"25-29"	"2003"	"2003"	140624	1224189	114.87
	"California"	"06"	"25-29 years"	"25-29"	"2004"	"2004"	141684	1245004	113.80
	"California"	"06"	"25-29 years"	"25-29"	"2005"	"2005"	143561	1268181	113.20
	"California"	"06"	"25-29 years"	"25-29"	"2006"	"2006"	148359	1299943	114.13
	"California"	"06"	"30-34 years"	"30-34"	"2003"	"2003"	134853	1319016	102.24
	"California"	"06"	"30-34 years"	"30-34"	"2004"	"2004"	134629	1298333	103.69
	"California"	"06"	"30-34 years"	"30-34"	"2005"	"2005"	133787	1263443	105.89
	"California"	"06"	"30-34 years"	"30-34"	"2006"	"2006"	133517	1234424	108.16
	"California"	"06"	"35-39 years"	"35-39"	"2003"	"2003"	72679	1334614	54.46
	"California"	"06"	"35-39 years"	"35-39"	"2004"	"2004"	74607	1320199	56.51
	"California"	"06"	"35-39 years"	"35-39"	"2005"	"2005"	75761	1322153	57.30
	"California"	"06"	"35-39 years"	"35-39"	"2006"	"2006"	77853	1329355	58.56
	"California"	"06"	"40-44 years"	"40-44"	"2003"	"2003"	17702	1378778	12.84
	"California"	"06"	"40-44 years"	"40-44"	"2004"	"2004"	17932	1388361	12.92
	"California"	"06"	"40-44 years"	"40-44"	"2005"	"2005"	17986	1375746	13.07
	"California"	"06"	"40-44 years"	"40-44"	"2006"	"2006"	18600	1350502	13.77
	"California"	"06"	"45-49 years"	"45-49"	"2003"	"2003"	1098	Not Available	Not Available
	"California"	"06"	"45-49 years"	"45-49"	"2004"	"2004"	1091	Not Available	Not Available
	"California"	"06"	"45-49 years"	"45-49"	"2005"	"2005"	1293	Not Available	Not Available
	"California"	"06"	"45-49 years"	"45-49"	"2006"	"2006"	1302	Not Available	Not Available
	"California"	"06"	"50 years and over"	"50+"	"2003"	"2003"	117	Not Available	Not Available
	"California"	"06"	"50 years and over"	"50+"	"2004"	"2004"	93	Not Available	Not Available
	"California"	"06"	"50 years and over"	"50+"	"2005"	"2005"	124	Not Available	Not Available
	"California"	"06"	"50 years and over"	"50+"	"2006"	"2006"	125	Not Available	Not Available
	"Colorado"	"08"	"Under 15 years"	"15"	"2003"	"2003"	114	Not Available	Not Available
	"Colorado"	"08"	"Under 15 years"	"15"	"2004"	"2004"	100	Not Available	Not Available
	"Colorado"	"08"	"Under 15 years"	"15"	"2005"	"2005"	96	Not Available	Not Available
	"Colorado"	"08"	"Under 15 years"	"15"	"2006"	"2006"	112	Not Available	Not Available
	"Colorado"	"08"	"15-19 years"	"15-19"	"2003"	"2003"	6700	155598	43.06
	"Colorado"	"08"	"15-19 years"	"15-19"	"2004"	"2004"	6775	156480	43.30
	"Colorado"	"08"	"15-19 years"	"15-19"	"2005"	"2005"	6646	158834	41.84
	"Colorado"	"08"	"15-19 years"	"15-19"	"2006"	"2006"	6719	160426	41.88
	"Colorado"	"08"	"20-24 years"	"20-24"	"2003"	"2003"	16899	159739	105.79
	"Colorado"	"08"	"20-24 years"	"20-24"	"2004"	"2004"	16377	161168	101.61
	"Colorado"	"08"	"20-24 years"	"20-24"	"2005"	"2005"	16312	162159	100.59
	"Colorado"	"08"	"20-24 years"	"20-24"	"2006"	"2006"	16733	164229	101.89
	"Colorado"	"08"	"25-29 years"	"25-29"	"2003"	"2003"	18332	154274	118.83
	"Colorado"	"08"	"25-29 years"	"25-29"	"2004"	"2004"	18179	155801	116.68
	"Colorado"	"08"	"25-29 years"	"25-29"	"2005"	"2005"	18676	158762	117.64
	"Colorado"	"08"	"25-29 years"	"25-29"	"2006"	"2006"	19430	164307	118.25
	"Colorado"	"08"	"30-34 years"	"30-34"	"2003"	"2003"	17304	167995	103.00
	"Colorado"	"08"	"30-34 years"	"30-34"	"2004"	"2004"	16777	165807	101.18
	"Colorado"	"08"	"30-34 years"	"30-34"	"2005"	"2005"	16670	162822	102.38
	"Colorado"	"08"	"30-34 years"	"30-34"	"2006"	"2006"	16822	161002	104.48
	"Colorado"	"08"	"35-39 years"	"35-39"	"2003"	"2003"	8057	165613	48.65
	"Colorado"	"08"	"35-39 years"	"35-39"	"2004"	"2004"	8419	163074	51.63
	"Colorado"	"08"	"35-39 years"	"35-39"	"2005"	"2005"	8626	164887	52.31
	"Colorado"	"08"	"35-39 years"	"35-39"	"2006"	"2006"	9021	168682	53.48
	"Colorado"	"08"	"40-44 years"	"40-44"	"2003"	"2003"	1812	188128	9.63
	"Colorado"	"08"	"40-44 years"	"40-44"	"2004"	"2004"	1763	186278	9.46
	"Colorado"	"08"	"40-44 years"	"40-44"	"2005"	"2005"	1826	183478	9.95
	"Colorado"	"08"	"40-44 years"	"40-44"	"2006"	"2006"	1804	178746	10.09
	"Colorado"	"08"	"45-49 years"	"45-49"	"2003"	"2003"	114	Not Available	Not Available
	"Colorado"	"08"	"45-49 years"	"45-49"	"2004"	"2004"	110	Not Available	Not Available
	"Colorado"	"08"	"45-49 years"	"45-49"	"2005"	"2005"	88	Not Available	Not Available
	"Colorado"	"08"	"45-49 years"	"45-49"	"2006"	"2006"	103	Not Available	Not Available
	"Connecticut"	"09"	"Under 15 years"	"15"	"2003"	"2003"	38	Not Available	Not Available
	"Connecticut"	"09"	"Under 15 years"	"15"	"2004"	"2004"	39	Not Available	Not Available
	"Connecticut"	"09"	"Under 15 years"	"15"	"2005"	"2005"	29	Not Available	Not Available
	"Connecticut"	"09"	"Under 15 years"	"15"	"2006"	"2006"	34	Not Available	Not Available
	"Connecticut"	"09"	"15-19 years"	"15-19"	"2003"	"2003"	2840	115313	24.63
	"Connecticut"	"09"	"15-19 years"	"15-19"	"2004"	"2004"	2867	117644	24.37
	"Connecticut"	"09"	"15-19 years"	"15-19"	"2005"	"2005"	2813	120587	23.33
	"Connecticut"	"09"	"15-19 years"	"15-19"	"2006"	"2006"	2875	122279	23.51
	"Connecticut"	"09"	"20-24 years"	"20-24"	"2003"	"2003"	7106	97403	72.95
	"Connecticut"	"09"	"20-24 years"	"20-24"	"2004"	"2004"	6822	99075	68.86
	"Connecticut"	"09"	"20-24 years"	"20-24"	"2005"	"2005"	7034	101706	69.16
	"Connecticut"	"09"	"20-24 years"	"20-24"	"2006"	"2006"	7289	104266	69.91
	"Connecticut"	"09"	"25-29 years"	"25-29"	"2003"	"2003"	9753	95516	102.11
	"Connecticut"	"09"	"25-29 years"	"25-29"	"2004"	"2004"	9924	96270	103.09
	"Connecticut"	"09"	"25-29 years"	"25-29"	"2005"	"2005"	9868	96649	102.10
	"Connecticut"	"09"	"25-29 years"	"25-29"	"2006"	"2006"	10228	97813	104.57
	"Connecticut"	"09"	"30-34 years"	"30-34"	"2003"	"2003"	13677	119747	114.22
	"Connecticut"	"09"	"30-34 years"	"30-34"	"2004"	"2004"	12878	114846	112.13
	"Connecticut"	"09"	"30-34 years"	"30-34"	"2005"	"2005"	12407	109343	113.47
	"Connecticut"	"09"	"30-34 years"	"30-34"	"2006"	"2006"	11961	105250	113.64
	"Connecticut"	"09"	"35-39 years"	"35-39"	"2003"	"2003"	7723	139135	55.51
	"Connecticut"	"09"	"35-39 years"	"35-39"	"2004"	"2004"	7795	134759	57.84
	"Connecticut"	"09"	"35-39 years"	"35-39"	"2005"	"2005"	7754	132162	58.67
	"Connecticut"	"09"	"35-39 years"	"35-39"	"2006"	"2006"	7575	129584	58.46
	"Connecticut"	"09"	"40-44 years"	"40-44"	"2003"	"2003"	1636	150979	10.84
	"Connecticut"	"09"	"40-44 years"	"40-44"	"2004"	"2004"	1663	151119	11.00
	"Connecticut"	"09"	"40-44 years"	"40-44"	"2005"	"2005"	1690	149491	11.31
	"Connecticut"	"09"	"40-44 years"	"40-44"	"2006"	"2006"	1722	147220	11.70
	"Connecticut"	"09"	"45-49 years"	"45-49"	"2003"	"2003"	92	Not Available	Not Available
	"Connecticut"	"09"	"45-49 years"	"45-49"	"2004"	"2004"	99	Not Available	Not Available
	"Connecticut"	"09"	"45-49 years"	"45-49"	"2005"	"2005"	105	Not Available	Not Available
	"Connecticut"	"09"	"45-49 years"	"45-49"	"2006"	"2006"	127	Not Available	Not Available
	"Connecticut"	"09"	"50 years and over"	"50+"	"2005"	"2005"	18	Not Available	Not Available
	"Delaware"	"10"	"Under 15 years"	"15"	"2003"	"2003"	22	Not Available	Not Available
	"Delaware"	"10"	"Under 15 years"	"15"	"2004"	"2004"	19	Not Available	Not Available
	"Delaware"	"10"	"Under 15 years"	"15"	"2005"	"2005"	17	Not Available	Not Available
	"Delaware"	"10"	"Under 15 years"	"15"	"2006"	"2006"	25	Not Available	Not Available
	"Delaware"	"10"	"15-19 years"	"15-19"	"2003"	"2003"	1206	28962	41.64
	"Delaware"	"10"	"15-19 years"	"15-19"	"2004"	"2004"	1181	29555	39.96
	"Delaware"	"10"	"15-19 years"	"15-19"	"2005"	"2005"	1225	30564	40.08
	"Delaware"	"10"	"15-19 years"	"15-19"	"2006"	"2006"	1263	31131	40.57
	"Delaware"	"10"	"20-24 years"	"20-24"	"2003"	"2003"	2918	29014	100.57
	"Delaware"	"10"	"20-24 years"	"20-24"	"2004"	"2004"	2865	28612	100.13
	"Delaware"	"10"	"20-24 years"	"20-24"	"2005"	"2005"	2936	28981	101.31
	"Delaware"	"10"	"20-24 years"	"20-24"	"2006"	"2006"	3079	29200	105.45
	"Delaware"	"10"	"25-29 years"	"25-29"	"2003"	"2003"	2874	25561	112.44
	"Delaware"	"10"	"25-29 years"	"25-29"	"2004"	"2004"	2988	27210	109.81
	"Delaware"	"10"	"25-29 years"	"25-29"	"2005"	"2005"	3108	28209	110.18
	"Delaware"	"10"	"25-29 years"	"25-29"	"2006"	"2006"	3250	29359	110.70
	"Delaware"	"10"	"30-34 years"	"30-34"	"2003"	"2003"	2811	27632	101.73
	"Delaware"	"10"	"30-34 years"	"30-34"	"2004"	"2004"	2696	27120	99.41
	"Delaware"	"10"	"30-34 years"	"30-34"	"2005"	"2005"	2740	26507	103.37
	"Delaware"	"10"	"30-34 years"	"30-34"	"2006"	"2006"	2719	25851	105.18
	"Delaware"	"10"	"35-39 years"	"35-39"	"2003"	"2003"	1254	31242	40.14
	"Delaware"	"10"	"35-39 years"	"35-39"	"2004"	"2004"	1321	30549	43.24
	"Delaware"	"10"	"35-39 years"	"35-39"	"2005"	"2005"	1338	30361	44.07
	"Delaware"	"10"	"35-39 years"	"35-39"	"2006"	"2006"	1389	30238	45.94
	"Delaware"	"10"	"40-44 years"	"40-44"	"2003"	"2003"	235	33427	7.03
	"Delaware"	"10"	"40-44 years"	"40-44"	"2004"	"2004"	282	33754	8.35
	"Delaware"	"10"	"40-44 years"	"40-44"	"2005"	"2005"	260	33778	7.70
	"Delaware"	"10"	"40-44 years"	"40-44"	"2006"	"2006"	248	33396	7.43
	"Delaware"	"10"	"45-49 years"	"45-49"	"2004"	"2004"	17	Not Available	Not Available
	"Delaware"	"10"	"45-49 years"	"45-49"	"2005"	"2005"	19	Not Available	Not Available
	"Delaware"	"10"	"45-49 years"	"45-49"	"2006"	"2006"	16	Not Available	Not Available
	"District of Columbia"	"11"	"Under 15 years"	"15"	"2003"	"2003"	27	Not Available	Not Available
	"District of Columbia"	"11"	"Under 15 years"	"15"	"2004"	"2004"	23	Not Available	Not Available
	"District of Columbia"	"11"	"Under 15 years"	"15"	"2005"	"2005"	22	Not Available	Not Available
	"District of Columbia"	"11"	"Under 15 years"	"15"	"2006"	"2006"	24	Not Available	Not Available
	"District of Columbia"	"11"	"15-19 years"	"15-19"	"2003"	"2003"	838	19807	42.31
	"District of Columbia"	"11"	"15-19 years"	"15-19"	"2004"	"2004"	863	19820	43.54
	"District of Columbia"	"11"	"15-19 years"	"15-19"	"2005"	"2005"	852	20254	42.07
	"District of Columbia"	"11"	"15-19 years"	"15-19"	"2006"	"2006"	999	20772	48.09
	"District of Columbia"	"11"	"20-24 years"	"20-24"	"2003"	"2003"	1783	27261	65.40
	"District of Columbia"	"11"	"20-24 years"	"20-24"	"2004"	"2004"	1867	28073	66.51
	"District of Columbia"	"11"	"20-24 years"	"20-24"	"2005"	"2005"	1827	28791	63.46
	"District of Columbia"	"11"	"20-24 years"	"20-24"	"2006"	"2006"	1893	30199	62.68
	"District of Columbia"	"11"	"25-29 years"	"25-29"	"2003"	"2003"	1578	27792	56.78
	"District of Columbia"	"11"	"25-29 years"	"25-29"	"2004"	"2004"	1679	28304	59.32
	"District of Columbia"	"11"	"25-29 years"	"25-29"	"2005"	"2005"	1757	28979	60.63
	"District of Columbia"	"11"	"25-29 years"	"25-29"	"2006"	"2006"	1951	30217	64.57
	"District of Columbia"	"11"	"30-34 years"	"30-34"	"2003"	"2003"	1919	25773	74.46
	"District of Columbia"	"11"	"30-34 years"	"30-34"	"2004"	"2004"	1886	25663	73.49
	"District of Columbia"	"11"	"30-34 years"	"30-34"	"2005"	"2005"	1860	25166	73.91
	"District of Columbia"	"11"	"30-34 years"	"30-34"	"2006"	"2006"	1973	25226	78.21
	"District of Columbia"	"11"	"35-39 years"	"35-39"	"2003"	"2003"	1152	21400	53.83
	"District of Columbia"	"11"	"35-39 years"	"35-39"	"2004"	"2004"	1265	20861	60.64
	"District of Columbia"	"11"	"35-39 years"	"35-39"	"2005"	"2005"	1287	21187	60.74
	"District of Columbia"	"11"	"35-39 years"	"35-39"	"2006"	"2006"	1299	21407	60.68
	"District of Columbia"	"11"	"40-44 years"	"40-44"	"2003"	"2003"	301	20527	14.66
	"District of Columbia"	"11"	"40-44 years"	"40-44"	"2004"	"2004"	322	20301	15.86
	"District of Columbia"	"11"	"40-44 years"	"40-44"	"2005"	"2005"	349	19556	17.85
	"District of Columbia"	"11"	"40-44 years"	"40-44"	"2006"	"2006"	361	19281	18.72
	"District of Columbia"	"11"	"45-49 years"	"45-49"	"2003"	"2003"	20	Not Available	Not Available
	"District of Columbia"	"11"	"45-49 years"	"45-49"	"2004"	"2004"	24	Not Available	Not Available
	"District of Columbia"	"11"	"45-49 years"	"45-49"	"2005"	"2005"	16	Not Available	Not Available
	"District of Columbia"	"11"	"45-49 years"	"45-49"	"2006"	"2006"	23	Not Available	Not Available
	"Florida"	"12"	"Under 15 years"	"15"	"2003"	"2003"	363	Not Available	Not Available
	"Florida"	"12"	"Under 15 years"	"15"	"2004"	"2004"	405	Not Available	Not Available
	"Florida"	"12"	"Under 15 years"	"15"	"2005"	"2005"	413	Not Available	Not Available
	"Florida"	"12"	"Under 15 years"	"15"	"2006"	"2006"	345	Not Available	Not Available
	"Florida"	"12"	"15-19 years"	"15-19"	"2003"	"2003"	22770	529737	42.98
	"Florida"	"12"	"15-19 years"	"15-19"	"2004"	"2004"	23407	548497	42.67
